product_category,original_price,product_age_days,return_reason,condition_grade,optimal_route
toys,1732.51,2,no_longer_needed,acceptable,refurbish
clothing,9921.72,3,better_price_found,acceptable,refurbish
electronics,60773.21,42,not_as_described,good,refurbish
toys,7576.31,122,no_longer_needed,acceptable,refurbish
clothing,2363.26,101,no_longer_needed,good,peer_exchange
home,8902.03,20,defective,very_good,refurbish
home,3590.6,24,no_longer_needed,like_new,resell_as_is
clothing,2213.39,72,not_as_described,acceptable,refurbish
books,989.7,12,no_longer_needed,acceptable,donate
clothing,5894.26,90,wrong_size,for_parts,recycle
clothing,11387.63,85,wrong_size,for_parts,recycle
books,1096.14,136,no_longer_needed,like_new,peer_exchange
electronics,21776.42,180,better_price_found,good,refurbish
clothing,4751.56,24,not_as_described,acceptable,refurbish
home,4375.28,41,defective,good,refurbish
books,1182.56,8,not_as_described,acceptable,donate
electronics,6840.78,73,defective,acceptable,refurbish
electronics,6887.19,259,not_as_described,very_good,resell_as_is
toys,7893.61,84,not_as_described,like_new,resell_as_is
clothing,6651.22,143,wrong_size,good,recycle
clothing,11244.12,88,no_longer_needed,acceptable,refurbish
electronics,26914.15,39,defective,good,refurbish
books,2938.12,49,no_longer_needed,like_new,resell_as_is
toys,2322.73,72,defective,very_good,peer_exchange
clothing,14939.55,72,wrong_size,acceptable,refurbish
toys,839.77,31,defective,very_good,peer_exchange
home,16020.12,16,defective,very_good,resell_as_is
clothing,968.58,20,defective,good,peer_exchange
electronics,6338.72,170,not_as_described,good,refurbish
electronics,57168.0,49,defective,good,refurbish
clothing,14786.65,29,no_longer_needed,very_good,resell_as_is
clothing,1420.92,3,wrong_size,like_new,recycle
books,2999.21,342,no_longer_needed,acceptable,refurbish
books,892.57,36,not_as_described,for_parts,recycle
electronics,44152.99,58,defective,like_new,resell_as_is
clothing,11698.62,45,no_longer_needed,good,refurbish
books,1329.75,9,defective,acceptable,refurbish
home,9148.2,9,wrong_size,very_good,resell_as_is
clothing,6843.39,141,wrong_size,good,refurbish
clothing,9520.26,119,better_price_found,like_new,resell_as_is
clothing,4244.54,37,better_price_found,good,refurbish
home,10213.71,5,defective,like_new,resell_as_is
electronics,42195.55,13,defective,acceptable,refurbish
home,7554.94,13,wrong_size,very_good,resell_as_is
electronics,7132.61,8,not_as_described,very_good,resell_as_is
clothing,10510.73,3,no_longer_needed,good,donate
toys,864.19,20,better_price_found,acceptable,donate
electronics,25024.98,40,not_as_described,very_good,resell_as_is
home,2237.98,18,no_longer_needed,acceptable,refurbish
clothing,2053.99,36,not_as_described,very_good,peer_exchange
clothing,791.03,24,wrong_size,very_good,peer_exchange
books,1862.06,69,better_price_found,good,refurbish
clothing,9004.76,50,wrong_size,very_good,resell_as_is
home,10378.64,42,not_as_described,for_parts,peer_exchange
electronics,17118.32,11,defective,very_good,resell_as_is
books,424.65,45,no_longer_needed,for_parts,recycle
clothing,14557.32,121,no_longer_needed,very_good,resell_as_is
home,37231.54,49,not_as_described,very_good,resell_as_is
electronics,22053.63,34,not_as_described,very_good,resell_as_is
home,12114.32,53,defective,good,refurbish
electronics,22874.37,9,defective,for_parts,recycle
books,912.99,69,no_longer_needed,good,peer_exchange
clothing,5558.59,160,no_longer_needed,for_parts,recycle
home,37582.95,12,defective,acceptable,refurbish
books,591.36,96,not_as_described,very_good,peer_exchange
books,2062.55,45,no_longer_needed,acceptable,refurbish
books,1429.58,29,no_longer_needed,very_good,peer_exchange
clothing,3867.08,138,wrong_size,good,refurbish
home,5382.4,169,no_longer_needed,very_good,resell_as_is
home,25106.85,46,better_price_found,acceptable,refurbish
clothing,4103.09,82,wrong_size,good,refurbish
books,1157.83,104,defective,acceptable,donate
clothing,12060.78,10,wrong_size,acceptable,refurbish
home,28002.78,47,defective,very_good,resell_as_is
toys,4833.78,31,no_longer_needed,for_parts,recycle
clothing,7835.39,57,wrong_size,acceptable,refurbish
clothing,10601.44,154,no_longer_needed,very_good,resell_as_is
home,17425.92,81,better_price_found,for_parts,recycle
electronics,64037.42,110,defective,for_parts,recycle
clothing,9073.49,31,wrong_size,very_good,resell_as_is
electronics,22677.2,31,not_as_described,for_parts,recycle
clothing,11193.77,37,wrong_size,good,refurbish
electronics,33146.35,33,better_price_found,very_good,resell_as_is
home,1313.3,66,defective,for_parts,recycle
clothing,1737.57,347,not_as_described,good,donate
electronics,58526.45,14,defective,like_new,resell_as_is
clothing,1452.78,90,defective,good,peer_exchange
clothing,8614.78,11,wrong_size,acceptable,refurbish
clothing,4425.8,62,defective,like_new,resell_as_is
home,26629.82,2,defective,very_good,resell_as_is
electronics,8110.89,97,defective,good,refurbish
electronics,16941.43,77,no_longer_needed,acceptable,refurbish
home,8835.38,21,better_price_found,like_new,peer_exchange
electronics,13021.15,53,not_as_described,acceptable,refurbish
clothing,4261.64,29,not_as_described,very_good,resell_as_is
clothing,8504.68,35,wrong_size,for_parts,recycle
electronics,56647.72,41,better_price_found,acceptable,refurbish
electronics,18561.01,47,no_longer_needed,very_good,resell_as_is
books,2956.33,45,not_as_described,very_good,refurbish
clothing,12318.29,42,wrong_size,good,refurbish
home,4977.89,10,defective,very_good,resell_as_is
clothing,9679.92,41,not_as_described,acceptable,refurbish
home,17343.81,27,better_price_found,very_good,donate
electronics,26220.27,21,defective,acceptable,refurbish
clothing,7402.73,66,better_price_found,acceptable,refurbish
electronics,18153.77,55,defective,good,refurbish
clothing,11678.23,7,wrong_size,acceptable,refurbish
home,17845.23,17,no_longer_needed,acceptable,refurbish
clothing,9058.34,27,wrong_size,for_parts,recycle
toys,3789.64,13,no_longer_needed,acceptable,refurbish
books,2044.59,71,better_price_found,very_good,peer_exchange
electronics,64216.92,174,defective,acceptable,refurbish
electronics,37564.52,149,defective,good,refurbish
toys,7780.04,174,no_longer_needed,acceptable,refurbish
clothing,12519.27,3,not_as_described,very_good,resell_as_is
electronics,45714.34,25,no_longer_needed,like_new,resell_as_is
clothing,11965.49,24,not_as_described,acceptable,refurbish
electronics,3049.45,123,defective,acceptable,refurbish
toys,6470.75,371,not_as_described,acceptable,refurbish
clothing,9598.83,125,better_price_found,acceptable,refurbish
clothing,11194.94,17,wrong_size,very_good,resell_as_is
clothing,3887.31,3,wrong_size,for_parts,recycle
clothing,10354.89,15,better_price_found,acceptable,donate
toys,7917.81,82,defective,good,refurbish
electronics,54245.8,8,defective,very_good,refurbish
home,14524.91,4,better_price_found,acceptable,refurbish
toys,1721.6,31,no_longer_needed,good,peer_exchange
books,828.43,16,no_longer_needed,good,peer_exchange
electronics,57218.76,19,defective,acceptable,refurbish
books,2466.65,64,no_longer_needed,like_new,peer_exchange
clothing,4266.43,78,defective,like_new,resell_as_is
home,3784.33,115,not_as_described,good,refurbish
books,1173.87,68,no_longer_needed,very_good,peer_exchange
home,26611.31,115,better_price_found,acceptable,refurbish
home,27461.52,58,no_longer_needed,very_good,resell_as_is
books,281.89,105,not_as_described,very_good,peer_exchange
electronics,53440.91,108,not_as_described,like_new,resell_as_is
home,39262.5,60,defective,good,refurbish
home,4993.64,86,not_as_described,for_parts,recycle
home,37335.5,7,better_price_found,good,donate
electronics,50457.5,74,not_as_described,like_new,refurbish
books,2925.77,209,no_longer_needed,like_new,resell_as_is
electronics,2904.85,24,not_as_described,acceptable,refurbish
clothing,4467.59,352,defective,good,refurbish
home,27992.34,15,defective,good,refurbish
clothing,14287.52,10,defective,for_parts,recycle
home,16385.7,20,better_price_found,good,refurbish
electronics,15032.15,2,no_longer_needed,very_good,resell_as_is
clothing,14538.8,13,no_longer_needed,acceptable,refurbish
books,2330.87,60,not_as_described,like_new,peer_exchange
home,32024.26,40,defective,like_new,resell_as_is
clothing,3407.61,41,wrong_size,good,refurbish
home,12966.19,37,wrong_size,like_new,resell_as_is
clothing,9200.3,21,not_as_described,acceptable,refurbish
electronics,32012.19,7,defective,for_parts,recycle
clothing,9463.26,73,not_as_described,like_new,resell_as_is
clothing,1774.06,26,wrong_size,like_new,peer_exchange
electronics,37538.84,71,no_longer_needed,very_good,resell_as_is
electronics,41913.32,74,defective,for_parts,resell_as_is
home,34941.99,76,no_longer_needed,very_good,resell_as_is
electronics,58320.86,48,no_longer_needed,good,refurbish
clothing,11108.05,6,wrong_size,very_good,resell_as_is
books,813.8,224,no_longer_needed,very_good,peer_exchange
home,20329.27,49,no_longer_needed,very_good,resell_as_is
toys,5342.48,14,no_longer_needed,like_new,resell_as_is
books,687.74,195,no_longer_needed,acceptable,donate
home,30894.78,43,not_as_described,good,refurbish
electronics,26615.21,56,not_as_described,acceptable,refurbish
toys,2557.29,27,not_as_described,good,refurbish
electronics,50776.01,32,not_as_described,good,refurbish
clothing,6488.95,5,defective,like_new,resell_as_is
clothing,8901.52,66,wrong_size,good,refurbish
clothing,12940.8,1,not_as_described,good,refurbish
electronics,16401.8,130,not_as_described,very_good,resell_as_is
home,6513.66,36,not_as_described,for_parts,recycle
clothing,6000.7,56,wrong_size,good,refurbish
home,18297.65,120,not_as_described,good,refurbish
electronics,16176.81,4,no_longer_needed,very_good,resell_as_is
electronics,8060.12,53,no_longer_needed,very_good,resell_as_is
home,1481.29,24,better_price_found,good,peer_exchange
clothing,5468.48,46,wrong_size,like_new,resell_as_is
toys,5970.03,11,defective,acceptable,refurbish
electronics,62672.52,18,no_longer_needed,for_parts,recycle
electronics,17003.35,107,no_longer_needed,acceptable,refurbish
home,36812.17,56,better_price_found,acceptable,refurbish
clothing,5554.32,11,not_as_described,very_good,resell_as_is
toys,6118.45,6,not_as_described,like_new,resell_as_is
home,37086.45,35,better_price_found,acceptable,refurbish
books,1251.88,22,no_longer_needed,very_good,peer_exchange
home,22886.81,29,not_as_described,good,refurbish
clothing,712.67,54,wrong_size,good,peer_exchange
clothing,8364.27,182,no_longer_needed,for_parts,recycle
electronics,10960.98,45,defective,good,refurbish
clothing,11329.7,76,not_as_described,acceptable,refurbish
books,399.58,186,no_longer_needed,very_good,peer_exchange
clothing,3321.1,11,not_as_described,good,refurbish
toys,4445.18,53,defective,acceptable,refurbish
toys,6656.12,45,defective,acceptable,refurbish
electronics,20250.17,95,defective,for_parts,recycle
electronics,53300.04,29,not_as_described,like_new,peer_exchange
books,838.62,15,no_longer_needed,good,peer_exchange
toys,3086.0,17,no_longer_needed,very_good,resell_as_is
clothing,10179.47,7,not_as_described,good,refurbish
electronics,48291.48,120,defective,like_new,donate
home,22230.54,16,not_as_described,good,refurbish
toys,1436.94,72,not_as_described,good,peer_exchange
home,39657.23,9,defective,acceptable,refurbish
clothing,1651.58,6,no_longer_needed,very_good,peer_exchange
electronics,24042.27,5,not_as_described,like_new,resell_as_is
electronics,35790.76,128,no_longer_needed,good,refurbish
clothing,10207.56,309,not_as_described,good,refurbish
clothing,1372.06,50,better_price_found,very_good,peer_exchange
electronics,35525.06,7,not_as_described,acceptable,refurbish
home,31981.64,158,defective,very_good,resell_as_is
toys,7445.21,47,better_price_found,good,refurbish
electronics,49459.67,9,no_longer_needed,acceptable,refurbish
electronics,20748.65,19,defective,like_new,resell_as_is
clothing,4930.1,31,defective,good,refurbish
toys,4176.92,291,better_price_found,very_good,resell_as_is
electronics,53408.06,29,better_price_found,acceptable,refurbish
home,12743.42,6,not_as_described,very_good,resell_as_is
clothing,14646.35,62,no_longer_needed,like_new,resell_as_is
toys,4101.67,56,no_longer_needed,very_good,resell_as_is
clothing,2622.42,28,wrong_size,like_new,resell_as_is
toys,4576.42,203,not_as_described,very_good,resell_as_is
clothing,2032.14,62,wrong_size,good,peer_exchange
electronics,5395.7,92,not_as_described,like_new,resell_as_is
electronics,45634.74,247,defective,like_new,resell_as_is
clothing,1965.16,71,wrong_size,good,peer_exchange
books,1922.61,22,no_longer_needed,good,peer_exchange
electronics,57799.37,36,defective,very_good,resell_as_is
books,2254.12,88,wrong_size,good,peer_exchange
electronics,17998.14,86,defective,good,refurbish
electronics,16816.29,224,no_longer_needed,for_parts,recycle
electronics,36295.43,37,no_longer_needed,like_new,resell_as_is
electronics,22116.92,81,not_as_described,very_good,resell_as_is
clothing,11882.74,134,better_price_found,acceptable,refurbish
home,17954.04,18,no_longer_needed,like_new,resell_as_is
clothing,9739.42,65,no_longer_needed,good,refurbish
electronics,34418.91,10,no_longer_needed,good,refurbish
electronics,6884.29,76,defective,like_new,peer_exchange
clothing,6120.13,38,better_price_found,for_parts,recycle
home,14709.78,32,not_as_described,acceptable,refurbish
electronics,6717.9,207,defective,acceptable,refurbish
clothing,3482.47,8,not_as_described,acceptable,refurbish
clothing,1108.29,208,no_longer_needed,very_good,peer_exchange
home,23630.97,83,no_longer_needed,good,refurbish
clothing,13957.21,16,wrong_size,good,refurbish
home,37768.57,17,defective,very_good,resell_as_is
home,12007.55,102,better_price_found,acceptable,refurbish
clothing,11448.11,38,no_longer_needed,acceptable,refurbish
home,7755.21,48,better_price_found,for_parts,refurbish
electronics,45016.42,6,better_price_found,good,refurbish
clothing,6494.54,86,no_longer_needed,good,refurbish
electronics,7453.56,52,better_price_found,good,refurbish
clothing,12270.41,82,no_longer_needed,very_good,resell_as_is
books,2041.17,23,no_longer_needed,acceptable,refurbish
home,15510.19,47,not_as_described,acceptable,refurbish
books,230.89,84,no_longer_needed,good,peer_exchange
books,1516.89,42,not_as_described,very_good,peer_exchange
home,9314.6,9,no_longer_needed,like_new,resell_as_is
electronics,12097.2,13,not_as_described,good,refurbish
clothing,10989.37,7,wrong_size,acceptable,refurbish
clothing,9231.11,2,wrong_size,good,refurbish
home,30040.27,241,defective,acceptable,refurbish
clothing,2274.46,80,wrong_size,very_good,recycle
home,39935.22,163,no_longer_needed,good,refurbish
home,5438.78,32,no_longer_needed,very_good,resell_as_is
clothing,3174.91,27,wrong_size,like_new,peer_exchange
home,37240.98,92,defective,acceptable,refurbish
clothing,7195.13,40,defective,for_parts,recycle
home,2753.81,141,better_price_found,acceptable,resell_as_is
electronics,40249.3,9,no_longer_needed,good,refurbish
electronics,5122.97,20,defective,very_good,resell_as_is
electronics,18768.81,86,not_as_described,acceptable,peer_exchange
books,330.2,59,no_longer_needed,very_good,peer_exchange
home,4187.84,17,no_longer_needed,good,refurbish
books,1301.65,106,better_price_found,good,peer_exchange
toys,1501.73,78,defective,very_good,peer_exchange
toys,7751.91,13,wrong_size,acceptable,refurbish
electronics,44918.39,48,better_price_found,very_good,resell_as_is
clothing,11979.65,48,not_as_described,very_good,resell_as_is
clothing,2543.91,66,wrong_size,like_new,resell_as_is
clothing,11364.61,21,no_longer_needed,like_new,resell_as_is
toys,6434.32,42,not_as_described,acceptable,refurbish
home,30361.02,2,defective,good,refurbish
clothing,14226.25,50,no_longer_needed,good,refurbish
electronics,23322.61,20,not_as_described,acceptable,refurbish
clothing,6262.03,6,defective,very_good,resell_as_is
electronics,24148.61,86,defective,very_good,resell_as_is
electronics,58456.83,45,not_as_described,good,refurbish
home,15033.55,137,defective,good,refurbish
electronics,24594.51,80,no_longer_needed,very_good,resell_as_is
toys,6912.24,8,no_longer_needed,very_good,resell_as_is
clothing,2275.29,78,wrong_size,for_parts,recycle
home,5889.2,70,defective,like_new,resell_as_is
electronics,25568.22,218,defective,very_good,resell_as_is
electronics,49733.48,266,better_price_found,good,refurbish
clothing,12379.2,128,not_as_described,very_good,resell_as_is
electronics,47161.42,33,better_price_found,acceptable,refurbish
home,17871.81,52,no_longer_needed,acceptable,refurbish
clothing,951.18,81,wrong_size,very_good,resell_as_is
home,39676.31,5,defective,very_good,resell_as_is
electronics,24383.99,5,no_longer_needed,good,refurbish
toys,2169.0,99,defective,acceptable,refurbish
books,200.53,12,no_longer_needed,very_good,peer_exchange
clothing,2368.31,32,no_longer_needed,good,refurbish
toys,1368.65,74,better_price_found,acceptable,refurbish
books,2949.04,59,no_longer_needed,good,refurbish
home,18433.81,15,defective,like_new,resell_as_is
electronics,37515.34,21,no_longer_needed,like_new,resell_as_is
home,24273.29,4,better_price_found,acceptable,refurbish
clothing,14840.91,60,not_as_described,acceptable,refurbish
clothing,4382.76,94,not_as_described,good,refurbish
electronics,32511.79,81,not_as_described,like_new,resell_as_is
electronics,62194.85,2,no_longer_needed,like_new,resell_as_is
clothing,2494.09,26,wrong_size,very_good,peer_exchange
clothing,11937.63,62,not_as_described,like_new,resell_as_is
home,38854.04,19,defective,good,refurbish
clothing,6401.09,134,wrong_size,like_new,resell_as_is
toys,2215.31,39,no_longer_needed,good,peer_exchange
clothing,6988.29,39,not_as_described,good,refurbish
electronics,54415.63,112,defective,good,refurbish
electronics,26696.6,3,defective,acceptable,refurbish
books,1688.48,128,no_longer_needed,like_new,peer_exchange
electronics,30112.91,160,defective,very_good,resell_as_is
books,2078.64,18,no_longer_needed,very_good,peer_exchange
toys,5882.59,120,wrong_size,acceptable,refurbish
electronics,56846.46,18,no_longer_needed,acceptable,refurbish
electronics,39366.42,48,better_price_found,good,refurbish
home,16976.87,63,no_longer_needed,acceptable,refurbish
clothing,2513.63,8,wrong_size,very_good,resell_as_is
home,21575.67,106,better_price_found,acceptable,refurbish
clothing,7008.37,6,wrong_size,for_parts,recycle
electronics,31129.59,102,defective,very_good,resell_as_is
clothing,1625.41,47,no_longer_needed,good,peer_exchange
clothing,7026.79,52,no_longer_needed,like_new,resell_as_is
electronics,24998.32,2,not_as_described,good,refurbish
electronics,42504.52,3,no_longer_needed,for_parts,recycle
clothing,5994.2,1,wrong_size,acceptable,refurbish
electronics,55293.36,46,no_longer_needed,good,refurbish
electronics,12127.34,215,defective,for_parts,recycle
electronics,7805.69,15,better_price_found,good,refurbish
clothing,2632.4,41,wrong_size,acceptable,refurbish
clothing,7373.09,36,better_price_found,good,donate
toys,3360.06,30,not_as_described,good,refurbish
clothing,8354.72,87,no_longer_needed,good,refurbish
clothing,3322.05,4,wrong_size,very_good,resell_as_is
clothing,5535.52,53,wrong_size,good,refurbish
clothing,6325.79,306,no_longer_needed,good,refurbish
home,8691.43,31,wrong_size,good,refurbish
electronics,62715.83,145,no_longer_needed,good,refurbish
electronics,51697.37,8,no_longer_needed,very_good,resell_as_is
toys,1530.85,38,better_price_found,good,peer_exchange
clothing,5942.28,21,wrong_size,acceptable,refurbish
clothing,7638.72,52,no_longer_needed,for_parts,recycle
books,2340.68,52,better_price_found,very_good,peer_exchange
books,1429.62,113,better_price_found,like_new,peer_exchange
clothing,7901.27,60,better_price_found,like_new,resell_as_is
home,29130.11,71,defective,very_good,resell_as_is
books,980.53,15,better_price_found,like_new,peer_exchange
home,33276.0,21,wrong_size,acceptable,refurbish
home,6399.73,85,no_longer_needed,good,refurbish
books,1918.09,6,no_longer_needed,like_new,peer_exchange
clothing,1457.14,26,wrong_size,acceptable,refurbish
electronics,62149.82,45,defective,like_new,resell_as_is
home,28517.79,4,defective,good,refurbish
electronics,19343.79,98,better_price_found,good,refurbish
clothing,7408.34,16,not_as_described,for_parts,recycle
clothing,9893.35,8,no_longer_needed,good,refurbish
clothing,9559.37,5,not_as_described,very_good,resell_as_is
books,2451.08,49,no_longer_needed,like_new,peer_exchange
clothing,7702.08,21,wrong_size,good,recycle
clothing,1989.85,13,no_longer_needed,acceptable,refurbish
books,1833.15,38,no_longer_needed,for_parts,recycle
electronics,24374.85,19,no_longer_needed,very_good,resell_as_is
books,1414.69,145,no_longer_needed,for_parts,refurbish
electronics,37353.94,160,no_longer_needed,good,refurbish
clothing,13194.91,13,wrong_size,like_new,resell_as_is
toys,2444.16,39,no_longer_needed,for_parts,recycle
clothing,6084.24,121,defective,like_new,resell_as_is
home,912.95,118,defective,good,peer_exchange
home,15349.54,123,no_longer_needed,good,refurbish
home,2208.8,31,better_price_found,like_new,refurbish
toys,796.71,69,no_longer_needed,good,donate
clothing,1342.33,8,not_as_described,very_good,peer_exchange
electronics,25572.47,25,wrong_size,like_new,resell_as_is
clothing,6362.2,46,not_as_described,like_new,resell_as_is
toys,4344.65,68,not_as_described,acceptable,refurbish
clothing,14652.2,9,wrong_size,acceptable,refurbish
electronics,18364.51,2,defective,acceptable,refurbish
clothing,5890.22,1,wrong_size,good,refurbish
books,266.07,138,better_price_found,acceptable,donate
clothing,4892.28,5,wrong_size,very_good,resell_as_is
home,19373.35,4,better_price_found,for_parts,recycle
toys,4538.07,198,defective,very_good,resell_as_is
electronics,10440.99,59,no_longer_needed,good,refurbish
books,1980.67,30,no_longer_needed,very_good,peer_exchange
toys,2607.83,39,better_price_found,acceptable,resell_as_is
toys,4179.57,16,wrong_size,good,refurbish
home,14687.3,179,better_price_found,good,refurbish
home,22236.9,12,not_as_described,good,refurbish
clothing,13516.28,68,wrong_size,for_parts,recycle
clothing,10057.15,7,not_as_described,good,refurbish
toys,4371.3,15,no_longer_needed,for_parts,recycle
electronics,2327.38,1,no_longer_needed,acceptable,refurbish
home,16292.07,184,better_price_found,very_good,resell_as_is
home,12952.0,16,not_as_described,acceptable,refurbish
home,34324.11,56,no_longer_needed,acceptable,refurbish
clothing,12168.92,3,no_longer_needed,very_good,resell_as_is
books,910.7,17,no_longer_needed,acceptable,recycle
clothing,6268.63,152,better_price_found,like_new,resell_as_is
clothing,6190.64,85,better_price_found,for_parts,recycle
clothing,11919.46,18,not_as_described,very_good,resell_as_is
electronics,13666.15,151,defective,good,refurbish
electronics,3787.19,12,no_longer_needed,very_good,resell_as_is
clothing,6830.91,53,not_as_described,acceptable,refurbish
clothing,13464.37,176,no_longer_needed,good,refurbish
clothing,7714.33,14,not_as_described,very_good,resell_as_is
books,779.81,5,defective,for_parts,recycle
clothing,12257.74,109,wrong_size,good,refurbish
home,6742.53,126,not_as_described,very_good,resell_as_is
electronics,9619.54,88,wrong_size,good,refurbish
electronics,63290.46,16,defective,very_good,resell_as_is
electronics,47813.39,205,defective,good,refurbish
books,1383.36,22,no_longer_needed,acceptable,refurbish
electronics,25054.75,140,no_longer_needed,for_parts,recycle
clothing,9064.25,65,wrong_size,good,refurbish
electronics,51070.11,53,better_price_found,like_new,resell_as_is
home,12425.15,76,no_longer_needed,like_new,resell_as_is
clothing,5854.57,163,no_longer_needed,good,refurbish
clothing,13854.42,72,no_longer_needed,acceptable,refurbish
books,746.67,26,no_longer_needed,for_parts,recycle
home,29300.63,50,better_price_found,good,refurbish
electronics,51424.06,80,not_as_described,like_new,resell_as_is
electronics,46184.94,211,not_as_described,very_good,resell_as_is
books,1730.0,205,defective,good,peer_exchange
books,701.92,97,no_longer_needed,very_good,peer_exchange
books,640.36,23,no_longer_needed,acceptable,donate
home,10618.34,59,not_as_described,acceptable,refurbish
electronics,44300.26,4,not_as_described,very_good,resell_as_is
clothing,9508.74,25,no_longer_needed,good,donate
clothing,1716.83,25,not_as_described,like_new,peer_exchange
clothing,14739.72,93,no_longer_needed,like_new,resell_as_is
home,24363.23,279,not_as_described,for_parts,recycle
electronics,30082.4,227,defective,good,refurbish
clothing,3252.32,53,wrong_size,good,donate
electronics,32173.02,19,defective,good,refurbish
home,3817.6,5,better_price_found,very_good,recycle
clothing,1835.38,49,not_as_described,acceptable,refurbish
clothing,7034.95,67,not_as_described,good,refurbish
electronics,12554.19,8,not_as_described,good,refurbish
toys,450.78,89,no_longer_needed,very_good,resell_as_is
electronics,38515.8,18,not_as_described,for_parts,recycle
books,727.91,67,better_price_found,like_new,refurbish
electronics,49022.41,148,not_as_described,very_good,resell_as_is
home,1154.92,54,no_longer_needed,good,peer_exchange
home,4382.55,14,better_price_found,acceptable,resell_as_is
electronics,18696.2,18,defective,good,refurbish
home,27176.57,6,better_price_found,acceptable,refurbish
books,2811.59,48,not_as_described,good,refurbish
home,21240.8,5,not_as_described,for_parts,recycle
clothing,4398.38,28,no_longer_needed,good,refurbish
clothing,9638.58,18,no_longer_needed,good,refurbish
home,37502.2,4,no_longer_needed,very_good,resell_as_is
electronics,20616.43,42,defective,good,refurbish
electronics,50041.99,32,no_longer_needed,very_good,resell_as_is
electronics,5976.24,13,no_longer_needed,acceptable,refurbish
home,5128.93,21,not_as_described,very_good,resell_as_is
clothing,5674.85,27,no_longer_needed,acceptable,refurbish
toys,7641.39,24,not_as_described,good,refurbish
books,487.19,30,no_longer_needed,good,peer_exchange
books,2095.43,110,better_price_found,acceptable,refurbish
home,7086.32,68,defective,good,refurbish
electronics,11995.57,1,no_longer_needed,acceptable,refurbish
electronics,6805.7,2,defective,acceptable,refurbish
clothing,2027.51,16,not_as_described,good,peer_exchange
electronics,26330.59,17,defective,for_parts,recycle
clothing,6528.74,34,not_as_described,good,refurbish
electronics,33257.16,32,better_price_found,good,refurbish
electronics,39958.01,8,defective,like_new,resell_as_is
electronics,26383.07,136,defective,good,refurbish
electronics,51840.14,5,not_as_described,good,refurbish
home,10728.28,1,no_longer_needed,good,refurbish
books,2561.31,40,no_longer_needed,acceptable,refurbish
electronics,55790.85,129,not_as_described,like_new,resell_as_is
books,2724.97,14,defective,acceptable,refurbish
clothing,14536.95,5,not_as_described,like_new,resell_as_is
books,1413.72,353,no_longer_needed,very_good,peer_exchange
clothing,5901.73,5,wrong_size,good,refurbish
home,28583.61,1,defective,good,refurbish
